Key,Id,Shared Comments,Filipino(fil),Filipino(fil) Comments,English(en),English(en) Comments
title,0,,ADVANCED SCENARIO - EDSA,,Advanced Scenario - EDSA,ADVANCED SCENARIO - EDSA
description,1,,"Magmaneho tayo sa EDSA, ang pangalawang pinaka-accident prone na daan sa Metro Manila. Dumiretso sa EDSA Service Road at lumiko sa susunod na kanan, papuntang Kamuning Road.",,"Let's drive through EDSA, the 2nd most accident prone road in Metro Manila. Continue driving through EDSA Service Road. Take the next right turn to Kamuning Road.",
objective,2,,Kumanan papuntang Kamuning Road,,Turn right to Kamuning Road,
good_KamuningTitle,3,,Ang Galing!,,Great!,
good_KamuningDescription,4,,"Bumalik ka sa simula. Upang gawin ito, lumiko pa-kanan sa dalawang susunod na likuan.",,Go back to the starting area by turning right on the next two turns.,
bad1_KamuningTitle,5,,Hala!,,Uh oh!,
bad1_KamuningDescription,6,,Maling daan! Galing ka na sa EDSA Service Road kaya dumiretso ka nalang.,,You are going the wrong way. Your starting position is already in the EDSA Service Road so you should just continue driving forward.,
bad2_KamuningTitle,7,,Hala!,,Uh oh!,
bad2_KamuningDescription,8,,Nalampasan mo ang kanang likuan papuntang Kamuning Road.,,You missed the right turn to Kamuning Road.,
bad3_KamuningTitle,9,,Hala!,,Uh oh!,
bad3_KamuningDescription,10,,Pumasok ka sa elevated Maharlika Highway. Manatili lang sa EDSA Service Road.,,You entered the elevated Maharlika Highway. Please stay on the EDSA Service Road,
maharlikaTitle,11,,Sunod na Pagsubok,,Next Challenge,
maharlikaDescription,12,,"Ngayon, magmaneho sa elevated Maharlika Highway",,"This time, drive through the elevated Maharlika Highway.",
bad1_MaharlikaTitle,13,,Hala!,,Uh oh!,
bad1_MaharlikaDescription,14,,"Mali ang nalikuan mo, napunta ka sa KF Street.",,You took a wrong right turn to KF Street.,
bad2_MaharlikaTitle,15,,Hala!,,Uh oh!,
bad2_MaharlikaDescription,16,,"Lumiko ka pa-kaliwa. Para makabalik sa simula, dapat lumiko ka pa-kanan.",,"You took a left turn. To go back to the starting position, you should take a right turn instead.",
bad3_MaharlikaTitle,17,,Ang galing mo!,,Great!,
bad3_MaharlikaDescription,18,,Tandaang maghinay sa mga pababang daan (slopes) dahil madaling maaksidente dito. Magpatuloy magmaneho sa EDSA.,,Remember to slow down when going down slopes as they are areas prone to road crashes. Continue driving down EDSA.,
bad4_MaharlikaTitle,19,,Hala!,,Uh oh!,
bad4_MaharlikaDescription,20,,"Pumasok ka sa EDSA Service Road, dapat sa elevated Maharlika Highway.",,You entered the EDSA Service Road instead of the elevated Maharlika Highway.,
end_MaharlikaTitle,21,,Ang Galing!,,Great!,
end_MaharlikaDescription,22,,Tandaang maghinay sa mga pababang daan (slopes) dahil madaling maaksidente dito. Magpatuloy magmaneho sa EDSA.,,Remember to slow down when going down slopes as they are areas prone to road crashes. Continue driving down EDSA.,
bad5_MaharlikaTitle,23,,Sunod na Pagsubok,,Next Challenge,
bad5_MaharlikaDescription,24,,"Magpatuloy lang sa EDSA Service Road at lumiko sa susunod na kanan, papuntang K-3rd Street.",,Continue down EDSA Service Road again and take the next right turn to K-3rd Street,
backToStartTitle,25,,Hala!,,Uh oh!,
backToStartDescription,26,,"Kumaliwa ka. Para makabalik sa simula, lumiko ka dapat sa kanan dito.",,"You took a left turn. To go back to the stargin position, you should take a right turn instead.",
bad_backToStartTitle,27,,Hala!,,Uh oh!,
bad_backToStartDescription,28,,"Kumaliwa ka. Para makabalik sa simula, lumiko ka dapat sa kanan dito.",,"You took a left turn. To go back to the stargin position, you should take a right turn instead.",
k3rdTitle,29,,Sunod na Pagsubok,,Next Challenge,
k3rdDescription,30,,"Bumalik sa simula uli, baybayin ang K-3rd at KF Streets. Kumanan sa pangalawang likuan.",,Go back to the starting area again by going straight through K-3rd and KF street. Take the 2nd right turn.,
bad1_k3rdTitle,31,,Hala!,,Uh oh!,
bad1_k3rdDescription,32,,Nalampasan mo ang kanang likuan papuntang K-3rd Street.,,You missed the right turn to K-3rd Street,
bad2_k3rdTitle,33,,Hala!,,Uh oh!,
bad2_k3rdDescription,34,,"Mali ang nalikuan mo, ikaw ay nasa Kamuning Street na. Ang K-3rd Street ay diretso pa dapat.",,You took the wrong right turn to Kamuning Street. K-3rd Street is still up ahead.,
bad3_k3rdTitle,35,,Hala!,,Uh oh!,
bad3_k3rdDescription,36,,"Mali ang nalikuan mo, ikaw ay nasa isang kantong papuntang dead end. Ang K-3rd Street ay diretso pa dapat.",,You took the wrong right turn to a small street which leads to a dead end. K-3rd Street is still up ahead.,
bad4_k3rdTitle,37,,Hala!,,Uh oh!,
bad4_k3rdDescription,38,,Pumasok ka sa elevated Maharlika Highway. Manatili lamang sa EDSA Service Road para makapunta sa K-3rd Street.,,You entered the elevated Maharlika Highway. Please stay on the EDSA Service Road to reach K-3rd Street.,
missedTargetTitle,39,,Hala!,,Uh oh!,
missedTargetDescription,40,,Huwag masyadong tagalan ang pagpalit ng lane.,,You failed to switch to the proper lane on time.,
